1	<html>@1<br> -Một</html>
chăm bón	<html>@chăm bón<br>-@chăm bón<br>- To cultivate, to tend<br>=trồng cây nào phải chăm bón cho tốt cây ấy+each plant grown must be properly cultivated</html>
chăm chú	<html>@chăm chú<br>-@chăm chú<br>* adj<br>- Concentrating, with concentration<br>=học sinh chăm chú nghe thầy giảng bài+the pupils listened with concentration to their teacher's explanation of the lesson<br>=nhìn chăm chú+to look at with concentration<br>=chăm chú vào công việc+to concentrate on one's work</html>
chăm chút	<html>@chăm chút<br>-@chăm chút<br>* verb<br>- To nurse<br>=chăm chút con thơ+to nurse one's little child<br>=chăm chút cây non+to nurse a sapling</html>
chăm chắm	<html>@chăm chắm<br>-@chăm chắm<br>- Nhìn chăm chắm<br>-To look fixedly at</html>
chăm chỉ	<html>@chăm chỉ<br>-@chăm chỉ<br>* adj<br>- Assiduous, laborious</html>
chăm lo	<html>@chăm lo<br>-@chăm lo<br>- To give one's mind to improving<br>=chăm lo học tập+to give one's mind to improving one's studies<br>=chăm lo đến đời sống nhân dân+to give one's mind to improving the people's living conditions</html>
chăm nom	<html>@chăm nom<br>-@chăm nom<br>* verb<br>- To care for<br>=chăm nom người già yếu+to care for the old and feeble<br>=chăm nom đồng ruộng+to care for one's fields</html>
chăm sóc	<html>@chăm sóc<br>-@chăm sóc<br>* verb<br>- To attend on (upon), to care for</html>
chăn	<html>@chăn<br>-@chăn<br>* noun<br>- Blanket<br>=chăn len+a woolen blanket<br>=chăn bông+a padded cotton blanket<br>* verb<br>- To tend, to graze, to pasture, to herd<br>=chăn bò+to tend oxen, to graze oxen<br>=chăn ngỗng+to tend geese<br>=chăn trẻ+to tend (farm) children<br>- To breed, to raise (nói về tằm)<br>=chăn tằm+to breed silkworm</html>
chăn chiếu	<html>@chăn chiếu<br>-@chăn chiếu<br>- Blanket and mat<br>- (nghĩa bóng) Conjugal life<br>=Tình chăn chiếu+Conjugal affection</html>
chăn dắt	<html>@chăn dắt<br>-@chăn dắt<br>- To herd, to tend<br>=chăn dắt trâu bò+to herd oxen and buffaloes<br>-To tend, to mind<br>=chăn dắt đàn em nhỏ+to tend a band of little brothers and sisters</html>
chăn gối	<html>@chăn gối<br>-@chăn gối<br>- Blanket and pillow; bed and board; connubiality<br>="Chưa chăn gối cũng vợ chồng"+Although having not shared bed and board, we are already man and wife<br>=chăn đơn gối chiếc+unshared blanket and single pillow; grass widowhood; spinsterhood</html>
chăn nuôi	<html>@chăn nuôi<br>-@chăn nuôi<br>- To breed, to raise<br>=chăn nuôi lợn gà+to breed pigs and poultry<br>=trại chăn nuôi+a breeding farm<br>=phát triển chăn nuôi thành một ngành sản xuất chính+to make breeding a main activity</html>
chăn thả	<html>@chăn thả<br>-@chăn thả<br>- To graze, to pasture</html>
chăng	<html>@chăng<br>-@chăng<br>* verb<br>- như giăng<br>* adv<br>- Not any<br>=nghe lõm câu được câu chăng+to overhear one sentence and not the other, to overhear every other sentence<br>* từ đệm<br>- Surely; isn't it, is it, doesn't it, does it.<br>=chậm rồi chăng+is it late, surely<br>=việc ấy nên chăng?+we should do that, shoudn't we?<br>=Nước non một gánh chung tình Nhớ ai, ai có nhớ mình chăng+ai? the whole land is pervaded with our constant love, I think of him, and he does of me, doesn't he?</html>
chăng lưới	<html>@chăng lưới<br>-@chăng lưới<br>* verb<br>-To spead; a net</html>
chăng màn	<html>@chăng màn<br>-@chăng màn<br>* verb<br>-To hang a mosquito net</html>
chăng nữa	<html>@chăng nữa<br>-@chăng nữa<br>- Even of<br>=Có phải đi bộ suốt chăng nữa, tôi cũng sẽ đến đó+Even if I have to walk all the way, I'll get there</html>
chĩa	<html>@chĩa<br>-@chĩa<br>* noun<br>- Fishing fork, fish lance<br>* verb<br>- To fish with a fish lance (fishing fork)<br>-To point at, to direct, to train upon<br>=chĩa lưỡi lê vào ngực ai+to point one's bayonet at someone<br>=nòng súng chĩa lên cao+the gun's barrel was trained high<br>=chĩa mũi nhọn đấu tranh vào kẻ thù chính+to direct the spearhead of the struggle at the main enemy</html>
chĩnh	<html>@chĩnh<br>-@chĩnh<br>* noun<br>- Terracotta jar<br>=chĩnh đựng mắm+a pickled fish jar<br>=chuột sa chĩnh gạo+to land in a mint of money, to get a windfall<br>=mưa như cầm chĩnh đổ+to rain cats and dogs</html>
chĩnh chện	<html>@chĩnh chện<br>-@chĩnh chện<br>* adj<br>- Grand, stately<br>=ngồi chĩnh chện+to sit with a grand air<br>=áo quần chĩnh chện+grand clothes</html>
chũm	<html>@chũm<br>-@chũm<br>* noun<br>- Top cut off an areca-nut</html>
chũm chọe	<html>@chũm chọe<br>-@chũm chọe<br>* noun<br>- Cymbal</html>
chũn chĩn	<html>@chũn chĩn<br>-@chũn chĩn<br>* adj<br>- Plump, chubby<br>=đôi lợn chũn chĩn+two plump pigs</html>
chơ chỏng	<html>@chơ chỏng<br>-@chơ chỏng<br>- Xem chỏng chơ</html>
chơ vơ	<html>@chơ vơ<br>-@chơ vơ<br>* adj<br>- Derelict, desolate<br>=hòn đảo chơ vơ ngoài biển+a derelict island on the high sea<br>=cây cổ thụ chơ vơ ngoài đồng+a desolate ancient tree in a field</html>
chơi	<html>@chơi<br>-@chơi<br>* verb<br>- To play<br>=trẻ con chơi ngoài sân+the children played in the yard<br>=dễ như chơi+like child's play<br>=chơi bài+to play cards<br>=chơi đàn piano+to play piano<br>=chơi bóng tròn+to play football<br>=chơi cho một vố đau+to play a bad trick on someone<br>=chơi khăm+to play a nasty trick<br>=khách làng chơi</html>
chơi bời	<html>@chơi bời<br>-@chơi bời<br>* verb<br>- To be friends<br>-To indulge in play<br>=chỉ chơi bời, không lo học+to be more interested in playing than in learning<br>-To play at<br>=làm chơi bời+to play at working</html>
chơi chữ	<html>@chơi chữ<br>-@chơi chữ<br>* verb<br>- To play on words, to make a pun</html>
chơi gái	<html>@chơi gái<br>-@chơi gái<br>* verb<br>- To frequent prostitutes</html>
chơi ngang	<html>@chơi ngang<br>-@chơi ngang<br>- To act unconventionally<br>-To commit adultery</html>
chơi trèo	<html>@chơi trèo<br>-@chơi trèo<br>- To keep company with older (wealthier) people</html>
chơi trội	<html>@chơi trội<br>-@chơi trội<br>- To give oneself airs, to play the high and mighty</html>
chơi vơi	<html>@chơi vơi<br>-@chơi vơi<br>* adj<br>- Lonely, solitary<br>=hòn đảo nhỏ chơi vơi giữa biển+a small lonely island on the high sea</html>
chơi ác	<html>@chơi ác<br>-@chơi ác<br>* verb<br>-To play a nasty trick</html>
chơi đùa	<html>@chơi đùa<br>-@chơi đùa<br>- To play</html>
chơi đĩ	<html>@chơi đĩ<br>-@chơi đĩ<br>* verb<br>-To frequent prostitutes</html>
chơm chớp	<html>@chơm chớp<br>-@chơm chớp<br>- Xem chớp</html>
chơm chởm	<html>@chơm chởm<br>-@chơm chởm<br>* adj<br>- Craggy, rugged, bristling<br>=đường núi chơm chởm những đá+the mountain path was craggy with rocks<br>=những mũi chông chơm chởm+bristling pikes</html>
chư	<html>@chư<br>-@chư<br>* adv<br>- (Particle denoting plurality)<br>=chư ông, chư vị+gentlemen<br>=chư huynh+elder brothers</html>
chư hầu	<html>@chư hầu<br>-@chư hầu<br>* noun<br>- Vassal, vassal state, satellite state</html>
chư tướng	<html>@chư tướng<br>-@chư tướng<br>-All the generals</html>
chưa	<html>@chưa<br>-@chưa<br>* adv<br>- Yet, not yet<br>=chưa ai tới cả+nobody has come yet<br>=chưa bao giờ+never before<br>=ăn chưa no+not to have eaten one's fill yet<br>=mười hai giờ rồi, đi ngủ chưa?+it is 12, are you going to bed yet?<br>-(Particle used in question tags, asking for affirmation)<br>=tai hại chưa, trời mưa rồi!+it is disastrous, isn't it? It has started raining<br>=lạ chưa kìa, đến giờ này mà không thấy anh ấy đến?+it is strange, isn't it, that he has not turned up at this late hour<br>=chưa ráo máu đầu+to be still a chicken</html>
chưa bao giờ	<html>@chưa bao giờ<br>-@chưa bao giờ<br>* adverb<br>-never</html>
chưa chừng	<html>@chưa chừng<br>-@chưa chừng<br>- Perhaps, maybe</html>
chưa hề	<html>@chưa hề<br>-@chưa hề<br>- Never<br>=tôi chưa hề gặp ông ta+I have never met him</html>
chưng	<html>@chưng<br>-@chưng<br>* verb<br>- To show off, to sport<br>=chưng bộ đồ mới+to sport a new suit<br>=chưng bằng cấp+to show off one's degree<br>=Như trưng+To boil down<br>=chưng nước mắm+to boil down some fish sauce<br>-To distil<br>* từ nối<br>- Như ở, tại</html>
chưng bày	<html>@chưng bày<br>-@chưng bày<br>- Như trưng bày</html>
chưng cất	<html>@chưng cất<br>-@chưng cất<br>- To distil</html>
chưng diện	<html>@chưng diện<br>-@chưng diện<br>- Showing off, swanky (in one's way of dressing, or decoration)<br>=ăn mặc chưng diện+to sport swanky clothes, to dress for swank<br>=nhà cửa chưng diện+a swanky house</html>
chưng hửng	<html>@chưng hửng<br>-@chưng hửng<br>- Như tưng hửng</html>
chương	<html>@chương<br>-@chương<br>* noun<br>- Chapter<br>=quyển sách mười chương+a ten-chapter book</html>
chương trình	<html>@chương trình<br>-@chương trình<br>* noun<br>- Programme, plan, syllabus<br>=chương trình làm việc+a programme (plan) of work<br>=chương trình nghị sự của một hội nghị+the programme of a conference, the agenda of a conference<br>=chương trình toán+a mathematics syllabus<br>=chương trình đại học về sử+a university-level history syllabus<br>=lập chương trình cho máy tính điện tử+to work out a programme for an electronic computer<br>=Như cương lĩnh</html>
chước	<html>@chước<br>-@chước<br>* noun<br>- Dodge, trick, resort<br>=dùng đủ mọi chước mà vẫn không xong+it was not done for all the tricks resorted to<br>* verb<br>- To exempt, to dispense with, to excuse<br>=chước bớt giỗ Tết+to dispense with the observance of some death anniversaries and festivals<br>=tôi bận không đến được, xin chước cho+I'll be too busy and won't be able to come, please excuse me</html>
chướng	<html>@chướng<br>-@chướng<br>* adj<br>- Offending the sight, unaesthetic, unseemly, unsound, unpalatablẹ.<br>=cái giừơng kê ngay giữa phòng, chướng lắm!+how unaesthetic to put a bed right in the middle of the room!<br>=câu nói nghe rất chướng+how unpalatable that statement!<br>=ăn mặc lố lăng chướng cả mắt+such excentric clothing is a real eyesore</html>
chướng khí	<html>@chướng khí<br>-@chướng khí<br>* noun<br>- Miasma</html>
chướng ngại	<html>@chướng ngại<br>-@chướng ngại<br>* noun<br>- Obstacle, hurdle<br>=nhảy qua các chướng ngại trong cuộc thi+to clear all the hurdles in the race</html>
chướng ngại vật	<html>@chướng ngại vật<br>-@chướng ngại vật<br>* noun<br>- Barricade, barrier</html>
chướng tai	<html>@chướng tai<br>-@chướng tai<br>- Unpalatable, unacceptable<br>=chướng tai gai mắt+objectionable, unseemly<br>=những việc chướng tai gai mắt+objectionable deeds</html>
chườm	<html>@chườm<br>-@chườm<br>* verb<br>- To apply compresses to<br>=chườm nóng+to apply hot compresses to<br>=túi chườm nước đá+an ice-bag (to be used as a cold compress)</html>
chường	<html>@chường<br>-@chường<br>* verb<br>- to appear</html>
chưởi	<html>@chưởi<br>-@chưởi<br>- Như chửi</html>
chưởng bạ	<html>@chưởng bạ<br>-@chưởng bạ<br>- Village land registrar (thời phong kiến và thuộc Pháp)</html>
chưởng khế	<html>@chưởng khế<br>-@chưởng khế<br>* noun<br>-Notary; public notary</html>
chưởng lý	<html>@chưởng lý<br>-@chưởng lý<br>* noun<br>-Attorney<br>-general; public proscentor</html>
chưởng ấn	<html>@chưởng ấn<br>-@chưởng ấn<br>* noun<br>-keeper of the seals</html>
chượp	<html>@chượp<br>-@chượp<br>- Brined (salt-pickled) fish (from which fish sauce is made)</html>
chạ	<html>@chạ<br>-@chạ<br>* adj<br>- Promiscuous<br>=ở chạ+to live promiscuously, to live in promiscuity</html>
chạc	<html>@chạc<br>-@chạc<br>* noun<br>- Fork<br>=chạc cây+a fork of a branch<br>=chạc ba+a three-pronged fork<br>=chạc chữ Y+a Y-shaped fork (in a machine)<br>-Bamboo plaited cord<br>=xỏ chạc vào mũi trâu+to run a bamboo plaited cord through a buffalo's nose<br>* verb<br>- như ghẹ<br>=ăn chạc bữa cơm+to sponge a meal (from somebody)</html>
chạch	<html>@chạch<br>-@chạch<br>* noun<br>- Loach<br>=lươn ngắn lại chê chạch dài+the swamp-eel, which is short, disparages the loach as too long; the pot calling the kettle black</html>
chạm	<html>@chạm<br>-@chạm<br>* verb<br>- To touch<br>=tay cầu thủ chạm vào quả bóng+the player's hand touched the ball<br>=chân chạm đất+his feet touched ground<br>-To encounter<br>=chạm địch+to encounter the enemy<br>=chạm một người lạ mặt trong rừng+to encounter a stranger in the wood<br>-To hurt<br>=chạm đến danh dự+to hurt someone's honour<br>=chạm quyền lợi ai+to hurt someone's interests<br>-To carve</html>
chạm chìm	<html>@chạm chìm<br>-@chạm chìm<br>- Intaglio</html>
chạm cốc	<html>@chạm cốc<br>-@chạm cốc<br>- Clink glasses</html>
chạm cữ	<html>@chạm cữ<br>-@chạm cữ<br>- (từ cũ) Dead before the mother's abstinence period after childbirth<br>- said of a baby)</html>
chạm mặt	<html>@chạm mặt<br>-@chạm mặt<br>- To meet face to face, to face<br>=như chạm ngõ</html>
chạm ngõ	<html>@chạm ngõ<br>-@chạm ngõ<br>- To pay a plighting visit<br>=mang trầu cau đến chạm ngõ+to bring areca nuts and betel for a plighting visit<br>=lễ chạm ngõ+a plighting ceremony</html>
chạm nọc	<html>@chạm nọc<br>-@chạm nọc<br>- To touch (someone) to the raw, to cut (someone) to the quick<br>=bị chạm nọc, anh ta bèn đánh trống lảng+touched to the quick, he just changed topics as a diversion</html>
chạm trán	<html>@chạm trán<br>-@chạm trán<br>* verb<br>- To meet face to face, to face<br>=hai lực lượng đối địch chạm trán nhau+the two opposing forces met face to face<br>=cuộc chạm trán bất ngờ+a surprise encounter</html>
chạm trổ	<html>@chạm trổ<br>-@chạm trổ<br>- To carve<br>=nghệ thuật chạm trổ+the carving art<br>=mái đình chạm trổ+a carved roof of a communal house</html>
chạm vía	<html>@chạm vía<br>-@chạm vía<br>- To bring bad luck on, to put a jinx on</html>
chạn	<html>@chạn<br>-@chạn<br>* noun<br>- Larder, pantry, cupboard</html>
chạng	<html>@chạng<br>-@chạng<br>* verb<br>- To stand astride<br>=chạng hai chân để giữ thế đứng vững vàng+to stand astride to keep in steady position<br>=ngồi chạng chân trên mình trâu+to sit astride on buffalo's back, to ride on a buffalo<br>=chạng háng+to stand widely astride, to straddle</html>
chạng vạng	<html>@chạng vạng<br>-@chạng vạng<br>* noun<br>- Twilight, dusk<br>=từ mờ sáng đến chạng vạng+from dawn to dusk<br>=trời đã chạng vạng+it is twilight<br>=chạng vạng tối, anh ta mới về+only at dusk did he come back</html>
chạnh	<html>@chạnh<br>-@chạnh<br>* verb<br>- To be affected by some melancholy feeling<br>=nghe điệu hò, chạnh nhớ đến quê hương+on hearing the chanty, he was affected by homesickness; on hearing the chanty, he felt homesick</html>
chạnh lòng	<html>@chạnh lòng<br>-@chạnh lòng<br>- (To be) affected, (to be) moved</html>
chạo	<html>@chạo<br>-@chạo<br>* noun<br>- Salad of pig's underdone sliced skin and grilled rice flour and aromatic herbs</html>
chạo rạo	<html>@chạo rạo<br>-@chạo rạo<br>- Tumultuous</html>
chạp	<html>@chạp<br>-@chạp<br>* noun<br>- Twelfth month, last month<br>=tiết một chạp+the eleventh and twelfth month period<br>- đi với giỗ tết) Ancestors' worship<br>=ngày giỗ, ngày chạp+death anniversary days, ancestor-worshipping days</html>
chạt	<html>@chạt<br>-@chạt<br>* noun<br>- nước chạt Brine (from which salt is got)<br>-Salt-pond</html>
chạy	<html>@chạy<br>-@chạy<br>* verb<br>- To run<br>=cầu thủ chạy theo quả bóng+the players ran after the ball<br>=chạy nhanh như bay+to run as fast as a rabbit<br>=chị ấy thường vẫn chạy đi chạy về thăm bố mẹ+she usually makes a run to her parents' home<br>=tàu chạy trên đường sắt+the train runs on rails<br>=có cảm giác lành lạnh chạy qua xương sống+to feel a shiver of cold run through one's spine<br>=máy chạy thông ca+the machine runs through shifts<br>=đồng hồ chạy chậm+this watch runs slow, this watch is slow<br>=đài chạy pin</html>
chạy chọt	<html>@chạy chọt<br>-@chạy chọt<br>* verb<br>- To solicit<br>=hắn đút lót bọn quan lại, chạy chọt chức lý trưởng+he bribed mandarins to solicit the position of village headman<br>=chạy chọt khắp nơi+to run about soliciting favours</html>
chạy chợ	<html>@chạy chợ<br>-@chạy chợ<br>- To huckster<br>=quanh năm chạy chợ, gặp gì buôn nấy+to huckster all year round and trade in anything</html>
chạy chữa	<html>@chạy chữa<br>-@chạy chữa<br>* verb<br>- To treat with every possible means (a seriously ill person)<br>=thầy thuốc đã hết lòng chạy chữa mà bệnh vẫn không giảm<br> despite the doctor's treating with every possible means, his illness did not abate</html>
chạy giấy	<html>@chạy giấy<br>-@chạy giấy<br>- (từ cũ) Work as a messenger</html>
chạy hiệu	<html>@chạy hiệu<br>-@chạy hiệu<br>- (từ cũ, thông tục) Play a secondary role, play second fiddle</html>
chạy loạn	<html>@chạy loạn<br>-@chạy loạn<br>- Seek safety from the war, flee from the war</html>
chạy làng	<html>@chạy làng<br>-@chạy làng<br>- To throw up the game and go bankrupt</html>
chạy mất	<html>@chạy mất<br>-@chạy mất<br>* verb<br>-To run away</html>
chạy quanh	<html>@chạy quanh<br>-@chạy quanh<br>- Be somewhere about<br>=Anh ấy chạy quanh đâu đấy+He is somewhere about</html>
chạy rà	<html>@chạy rà<br>-@chạy rà<br>- Run in<br>=Xe mô tô này chưa chạy rà+This motor - cycle has not been run in yet</html>
chạy rông	<html>@chạy rông<br>-@chạy rông<br>- Roam about, run about</html>
chạy tang	<html>@chạy tang<br>-@chạy tang<br>- Mourning-avoiding<br>=cưới chạy tang+wedding (hurriedly held while a member of either party's family was dying or his death had not been announced)</html>
chạy theo	<html>@chạy theo<br>-@chạy theo<br>- Run after<br>=Chạy theo lợi nhuận+To run after profits</html>
chạy thoát	<html>@chạy thoát<br>-@chạy thoát<br>* verb<br>-To have a narrow escape</html>
chạy tiền	<html>@chạy tiền<br>-@chạy tiền<br>- To go in search for money<br>-To bribe, to pay a bribe</html>
chạy việc	<html>@chạy việc<br>-@chạy việc<br>- Go in search of a job, look for a job</html>
chạy vạy	<html>@chạy vạy<br>-@chạy vạy<br>- To move heaven and earth<br>=một mình chạy vạy nuôi sống cả gia đình+to move heaven and earth by oneself to support one's whole family</html>
chạy vụt	<html>@chạy vụt<br>-@chạy vụt<br>- Run like the wind</html>
chạy ùa	<html>@chạy ùa<br>-@chạy ùa<br>- Rush, stream<br>=Giờ nghỉ học sinh chạy ùa ra khỏi phòng+At breaks the pupils stream out of the classroom</html>
chạy điện	<html>@chạy điện<br>-@chạy điện<br>- (y học,khẩu ngữ) Electrotherapy</html>
chạy đua	<html>@chạy đua<br>-@chạy đua<br>* verb<br>- To race<br>=chạy đua với thời gian, đắp xong con đê trước mùa mưa lũ+to race against time and finish building the dyke before the flood season<br>=chạy đua vũ trang+an arms race</html>
chả	<html>@chả<br>-@chả<br>* noun<br>- Grilled chopped meat, grilled chopped fish, grilled chopped shrimp, shish kabab<br>=chả cá+grilled chopped fish<br>=bún chả+grilled chopped meat and vermicelli<br>-Cha ca (grilled chopped fish) is a kind of time-consuming and meticulously prepared food. To enjoy it, you will have on the table various auxiliary dishes: A small bowl of tasty Mam Tom (shrimp paste) mixed with a few drops of rice liquor and lemon juice, then carefully stirred with some added slices of hot chilly. A plate of roasted groundnuts, which are a rich brown colour following the removal of their flimsy covers<br>-Accompanying the two dishes will be a plate of pure white rice vermicelli and a plate of spicy vegetables. Finally, a stove with a pan of boiling oil on its top will be placed on the table. You will open the grilles to allow pieces of grilled fish to drop into the oil. Things are done in this way to ensure that connoisseurs receive piping hot food</html>
chả bù	<html>@chả bù<br>-@chả bù<br>- như chẳng bù</html>
chả chớt	<html>@chả chớt<br>-@chả chớt<br>* adj<br>- Half-serious half-joking<br>=giọng chả chớt+a half-serious half-joking voice<br>=nói chả chớt+to speak in a half-serious half-joking voice</html>
chả giò	<html>@chả giò<br>-@chả giò<br>- như chả rán</html>
chả là	<html>@chả là<br>-@chả là<br>- (khẩu ngữ) It is because<br>=chả là mấy hôm nay chị ấy ốm, nên chị ấy mới nghỉ+it is because she has been ill these last few days that she has not been at work<br>=anh ấy chả là người quen mà!+isn't it because he is an acquaintance!</html>
chả rán	<html>@chả rán<br>-@chả rán<br>- Fried crab roll, fried meat roll<br>-Although it ranks among Vietnam's special dishes, Cha Ran (or Cha Gio) is very easy to prepare. Consequently, it has long been a preferred food on special occasions such as Tet and other family festivities. Ingredients for Cha Gio comprise lean minced pork, sea crabs or unshelled shrimps, two kinds of edible mushroom - Nam Huong and Moc Nhi - dried onion, duck eggs, pepper, salt and seasoning. All are mixed thoroughly before being wrapped with transparent rice paper into small rooms. These rolls are fried in boiling oil. Pieces of freshly fried spring rolls, dipped in spicy, sweet and sour fish sauce and can offer connoisseurs a tasty hot food to be eaten with a variety of pickles including slices of papaya and lettuce, cucumber and other spicy vegetables</html>
chả viên	<html>@chả viên<br>-@chả viên<br>- Quenelle forcemeat ball</html>
chải	<html>@chải<br>-@chải<br>* verb<br>- To brush<br>=chải tóc+to brush one's hair<br>=chải áo+to brush one's coat<br>=chải sâu+to brush off insects (from a tree trunk or leaves)</html>
chải chuốt	<html>@chải chuốt<br>-@chải chuốt<br>* verb<br>- To spruce up, to smarten<br>=không chịu làm gì, chỉ chải chuốt suốt ngày+to refuse to do a single turn of work and spend the whole day spucing oneself up<br>* adj<br>- Well-groomed, spruce<br>=hình dáng chải chuốt+a spruce figure<br>=ăn mặc chải chuốt+to be well-groomed<br>- nói về văn chương) Polished<br>=văn chương chải chuốt+a polished style</html>
chải đầu	<html>@chải đầu<br>-@chải đầu<br>* verb<br>-To comb; to brush</html>
chảo	<html>@chảo<br>-@chảo<br>* noun<br>- Pan<br>=thung lũng hình lòng chảo+a pan-shaped valley<br>=luống cuống như kiến bò chảo nóng+awkward like ants creeping in a hot pan; like a fish out of water</html>
chảu	<html>@chảu<br>-@chảu<br>* verb<br>- To purse, to pout<br>=chảu môi+to purse one's lips</html>
chảy	<html>@chảy<br>-@chảy<br>* verb<br>- To flow, to run<br>=con sông chảy xiết+the river runs very fast<br>=nước chảy đá mòn+constant dropping wears stone<br>=người đi như nước chảy+there were flowing streams of people<br>=dòng người chảy trên đường phố+the stream of people flowed in the street<br>=nước mắt chảy như mưa+tears flowed down like rain<br>=bì thủng, gạo chảy mất nhiều+the bag having holes in it, a lot of rice has run out<br>=kẹo chảy nước+the sweets have begun to run (because of the humidity of the air)<br>-To melt, to leak</html>
chảy máu	<html>@chảy máu<br>-@chảy máu<br>- Bleed<br>=Chảy máu dạ dày+Gastric haemorrhage<br>=Chảy máu não+Cerebral haemorrhage<br>=Chảy máu cam+Nosebleed</html>
chảy rửa	<html>@chảy rửa<br>-@chảy rửa<br>-Deliquesce.</html>
chảy rữa	<html>@chảy rữa<br>-@chảy rữa<br>- To deliquesce<br>=muối dễ chảy rữa trong không khí ẩm+salt deliquesces easily in a moist atmosphere</html>
chảy thây	<html>@chảy thây<br>-@chảy thây<br>- lười chảy thây Very lazy</html>
chấm	<html>@chấm<br>-@chấm<br>* noun<br>- Dot, point<br>=chiếc máy bay bay xa chỉ còn là một chấm đen trên trời+the plane flew off to become only a small black dot in the sky<br>=chữ " i " có một chấm trên đầu+the letter "i" has a dot on it<br>-Full stop, period<br>=sau một chấm, phải viết hoa+after a full stop, the first letter must be a capital one<br>* verb<br>- To put a dot, to make a dot; to put a full stop, to make a full stop<br>=hết câu phải chấm+after each sentence, we must put a full stop<br>=chấm câu+to put stops in a sentence; to punctuate a sentence<br>=chấm ảnh+to retouch photographs</html>
chấm chấm	<html>@chấm chấm<br>-@chấm chấm<br>- Stipple</html>
chấm công	<html>@chấm công<br>-@chấm công<br>- To mark work-points (ở các hợp tác xã nông nghiệp)</html>
chấm dứt	<html>@chấm dứt<br>-@chấm dứt<br>* verb<br>- To bring to an end, to terminate, to end<br>=chấm dứt cuộc vui+to bring the merry-making party to an end<br>=vĩnh viễn chấm dứt+to end for ever, to bring to a permanent end</html>
chấm hết	<html>@chấm hết<br>-@chấm hết<br>- To put a final stop to (a writing)</html>
chấm hỏi	<html>@chấm hỏi<br>-@chấm hỏi<br>- Question mark</html>
chấm lửng	<html>@chấm lửng<br>-@chấm lửng<br>- Ellipsis</html>
chấm mút	<html>@chấm mút<br>-@chấm mút<br>- To make money from rake-offs</html>
chấm phá	<html>@chấm phá<br>-@chấm phá<br>* verb<br>- To sketch<br>=bức tranh chấm phá+a sketch<br>=nét vẽ chấm phá+a sketchy line</html>
chấm phần	<html>@chấm phần<br>-@chấm phần<br>- Secure apart, stake out a part (of a legacỵ..)</html>
chấm phẩy	<html>@chấm phẩy<br>-@chấm phẩy<br>- Semi-colon</html>
chấm phết	<html>@chấm phết<br>-@chấm phết<br>- như chấm phẩy</html>
chấm than	<html>@chấm than<br>-@chấm than<br>- Exclamation mark</html>
chấn	<html>@chấn<br>-@chấn<br>- The fourth sign of the eight-sign figure</html>
chấn chỉnh	<html>@chấn chỉnh<br>-@chấn chỉnh<br>* verb<br>- To correct, to dress, to reorganize<br>=chấn chỉnh hàng ngũ+to dress the ranks of one's troops, to reorganize one's ranks<br>=chấn chỉnh và củng cố tổ chức+to reorganize and strengthen an organization<br>=chấn chỉnh lề lối làm việc+to correct one's style of work</html>
chấn hưng	<html>@chấn hưng<br>-@chấn hưng<br>* verb<br>- To make prosper, to make prevail<br>=chấn hưng công nghệ+to make industry prosper<br>=chấn hưng đạo đức+to make morality prevail</html>
chấn song	<html>@chấn song<br>-@chấn song<br>* noun<br>- Bar, pale<br>=chấn song cửa sổ+a window bar<br>=hàng rào chấn song+a fence of pales, a paling</html>
chấn thương	<html>@chấn thương<br>-@chấn thương<br>* noun<br>- Trauma<br>=chấn thương nhẹ ở đầu+a slight trauma in the head</html>
chấn tử	<html>@chấn tử<br>-@chấn tử<br>- Vibrator<br>- Wires (of an aerial)</html>
chấn áp	<html>@chấn áp<br>-@chấn áp<br>* verb<br>-To oppress</html>
chấn động	<html>@chấn động<br>-@chấn động<br>* verb<br>- To produce a stir</html>
chấp	<html>@chấp<br>-@chấp<br>* verb<br>- To give some handicap<br>=chấp bạn mười mét trong cuộc chạy thi 100 mét mà vẫn thắng<br> to win a 100-meter race though having given one's opponent a 10-meter handicap<br>-To defy<br>=một người chấp ba người+one man defies three<br>=chấp mọi khó khăn+to defy all difficulties<br>-To accept, to grant<br>=chấp đơn+to accept (grant) a request<br>-To resent, to have a grudge against<br>=nó lỡ lời, chấp làm gì+it was a slip of his tongue, don't have a grudge against him<br>=chấp làm gì lời nói của trẻ con</html>
chấp bút	<html>@chấp bút<br>-@chấp bút<br>* verb<br>- To put down in writing (the ideas of a community)</html>
chấp cha chấp chới	<html>@chấp cha chấp chới<br>-@chấp cha chấp chới<br>- xem chấp chới</html>
chấp chính	<html>@chấp chính<br>-@chấp chính<br>* verb<br>- To assume power</html>
chấp chới	<html>@chấp chới<br>-@chấp chới<br>* verb<br>- To fly with a rolling motion<br>=bướm chấp chới bay liệng+the butterfly flew with a rolling motion and hovered<br>-To flicker<br>=ánh đuốc chấp chới ở phía xa+the glimmer of a torch flickered in the distance<br>-To wink leeringly</html>
chấp hành	<html>@chấp hành<br>-@chấp hành<br>* verb<br>- To execute, to implement<br>=ban chấp hành+an executive commitee</html>
chấp kinh	<html>@chấp kinh<br>-@chấp kinh<br>* verb<br>- To keep to the usual code of conduct</html>
chấp kinh tòng quyền	<html>@chấp kinh tòng quyền<br>-@chấp kinh tòng quyền<br>- xem quyền</html>
chấp nhất	<html>@chấp nhất<br>-@chấp nhất<br>- To be a stickler for</html>
